Element;Categorie;Sous_categorie;Phase;Propriété;IFC_Reference;Revit_Param;Requis
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Haut-parleur;IfcElectricApplianceType.USERDEFINED[SPEAKER];Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Haut-parleur d'alarme (incendie / alerte vocale);IfcElectricApplianceType.USERDEFINED[SPEAKER];Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Lecteur média;IfcElectricApplianceType.USERDEFINED[PLAYER];Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Téléviseur;IfcElectricApplianceType.TV;Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;TV;IfcElectricApplianceType.TV;Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Appareil photo;IfcElectricApplianceType.USERDEFINED[CAMERA];Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Caméra;IfcElectricApplianceType.USERDEFINED[CAMERA];Communication Devices;Oui
Appareil audiovisuel;Classe et type IFC;Types IFC;Toutes;Caméra ip;IfcElectricApplianceType.USERDEFINED[CAMERA];Communication Devices;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;APD;Statut de rénovation (Archicad) ;ePset_ElectricApplianceTypeCommon.Status;-;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;PDE;Statut de rénovation (Archicad) ;ePset_ElectricApplianceTypeCommon.Status;-;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXE;Statut de rénovation (Archicad) ;ePset_ElectricApplianceTypeCommon.Status;-;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXP;Statut de rénovation (Archicad) ;ePset_ElectricApplianceTypeCommon.Status;-;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;APD;Classe IFC ;IFC Class;Export Type to IFC As;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;PDE;Classe IFC ;IFC Class;Export Type to IFC As;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXE;Classe IFC ;IFC Class;Export Type to IFC As;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXP;Classe IFC ;IFC Class;Export Type to IFC As;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;APD;Type IFC ;IfcElectricApplianceType.IFC Type;Type IFC Predefined Type;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;PDE;Type IFC ;IfcElectricApplianceType.IFC Type;Type IFC Predefined Type;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXE;Type IFC ;IfcElectricApplianceType.IFC Type;Type IFC Predefined Type;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXP;Type IFC ;IfcElectricApplianceType.IFC Type;Type IFC Predefined Type;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;APD;Type IFC personnalisé ;IfcObject.ObjectType;Objecttype;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;PDE;Type IFC personnalisé ;IfcObject.ObjectType;Objecttype;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXE;Type IFC personnalisé ;IfcObject.ObjectType;Objecttype;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXP;Type IFC personnalisé ;IfcObject.ObjectType;Objecttype;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;APD;Nom objet ;IfcRoot.Name;IfcName;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;PDE;Nom objet ;IfcRoot.Name;IfcName;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXE;Nom objet ;IfcRoot.Name;IfcName;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXP;Nom objet ;IfcRoot.Name;IfcName;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;APD;Statut ;ePset_ElectericApplianceTypeCommon.Status;Phase Created;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;PDE;Statut ;ePset_ElectericApplianceTypeCommon.Status;Phase Created;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXE;Statut ;ePset_ElectericApplianceTypeCommon.Status;Phase Created;Oui
Appareil audiovisuel;Informations alphanumériques;Niveau objet;EXP;Statut ;ePset_ElectericApplianceTypeCommon.Status;Phase Created;Oui
Appareil audiovisuel;Documentation;Descriptifs;APD;Prescriptions;;;Oui
Appareil audiovisuel;Documentation;Descriptifs;PDE;Prescriptions;;;Oui
Appareil audiovisuel;Documentation;Descriptifs;EXE;Prescriptions;;;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXE;Fiche technique;;;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXP;Fiche technique;;;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;PDE;Protocole de communication;;;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXE;Protocole de communication;;;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXP;Protocole de communication;;;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXE;Notice de montage;;;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXP;Notice de montage;;;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXE;Protocole de mesure;;;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXP;Protocole de mesure;;;Oui
Appareil audiovisuel;Documentation;Maintenance et fiches techniques;EXE;Notice de maintenance;;;Oui
