Element,Categorie,Sous_categorie,Phase,Type de document,Propriété,Paramètre IFC,Paramètre Revit_ENG,Nom,IFC Type,Catégorie Revit,Classification,Numéro - Description
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Commutateur audio-vidéo,IfcElectricApplianceType.USERDEFINED[SWITCHER],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Ecran,IfcElectricApplianceType.TV,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Haut-parleur,IfcElectricApplianceType.USERDEFINED[SPEAKER],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Haut-parleur d'alarme (incendie / alerte vocale),IfcElectricApplianceType.USERDEFINED[SPEAKER],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Lecteur média,IfcElectricApplianceType.USERDEFINED[PLAYER],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Téléviseur,IfcElectricApplianceType.TV,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,TV,IfcElectricApplianceType.TV,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Appareil photo,IfcElectricApplianceType.USERDEFINED[CAMERA],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Caméra,IfcElectricApplianceType.USERDEFINED[CAMERA],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Caméra ip,IfcElectricApplianceType.USERDEFINED[CAMERA],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Caméra dôme,IfcElectricApplianceType.USERDEFINED[CAMERA],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Caméra visioconférence,IfcElectricApplianceType.USERDEFINED[CAMERA],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Interphone,IfcElectricApplianceType.USERDEFINED[INTERCOM],Communication Devices,,
