Element,Categorie,Sous_categorie,Phase,Type de document,Propriété,Paramètre IFC,Paramètre Revit_ENG,Nom,IFC Type,Catégorie Revit,Classification,Numéro - Description
Colonne,Classification,,Toutes,,,,,,,,Uniformat II 2010,F1020.40 - Metal Building Systems
Coupleur incendie,Classe et type IFC,,Toutes,,,,,Coupleur incendie,IfcFireSuppressionTerminalType.BREECHINGINLET,Fire Protection,,
Coupleur incendie,Informations alphanumériques,Niveau objet,APD,,Statut de rénovation (Archicad),ePset_FireSuppressionTerminalTypeCommon.Status,-,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,PDE,,Statut de rénovation (Archicad),ePset_FireSuppressionTerminalTypeCommon.Status,-,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,EXE,,Statut de rénovation (Archicad),ePset_FireSuppressionTerminalTypeCommon.Status,-,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,EXP,,Statut de rénovation (Archicad),ePset_FireSuppressionTerminalTypeCommon.Status,-,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,APD,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,PDE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,EXE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,EXP,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,APD,,Type IFC,IfcFireSuppressionTerminalType.PredefinedType,Type IFC Predefined Type,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,PDE,,Type IFC,IfcFireSuppressionTerminalType.PredefinedType,Type IFC Predefined Type,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,EXE,,Type IFC,IfcFireSuppressionTerminalType.PredefinedType,Type IFC Predefined Type,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,EXP,,Type IFC,IfcFireSuppressionTerminalType.PredefinedType,Type IFC Predefined Type,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,APD,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,PDE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,EXE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,EXP,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,APD,,Nom objet,IfcRoot.Name,IfcName,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,PDE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,EXE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,EXP,,Nom objet,IfcRoot.Name,IfcName,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,APD,,Statut,ePset_FireSuppressionTerminalTypeCommon.Status,Phase Created,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,PDE,,Statut,ePset_FireSuppressionTerminalTypeCommon.Status,Phase Created,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,EXE,,Statut,ePset_FireSuppressionTerminalTypeCommon.Status,Phase Created,,,,,
Coupleur incendie,Informations alphanumériques,Niveau objet,EXP,,Statut,ePset_FireSuppressionTerminalTypeCommon.Status,Phase Created,,,,,
Coupleur incendie,Documentation,Descriptifs,PDE,Dimensionnement,,,,,,,,
Coupleur incendie,Documentation,Descriptifs,EXE,Dimensionnement,,,,,,,,
Coupleur incendie,Documentation,Descriptifs,EXP,Dimensionnement,,,,,,,,
Coupleur incendie,Documentation,Descriptifs,APD,Prescriptions,,,,,,,,
Coupleur incendie,Documentation,Descriptifs,PDE,Prescriptions,,,,,,,,
Coupleur incendie,Documentation,Descriptifs,EXE,Prescriptions,,,,,,,,
Coupleur incendie,Documentation,Maintenance et fiches techniques,EXE,Fiche technique,,,,,,,,
Coupleur incendie,Documentation,Maintenance et fiches techniques,EXP,Fiche technique,,,,,,,,
Coupleur incendie,Documentation,Maintenance et fiches techniques,EXE,Notice de montage,,,,,,,,
Coupleur incendie,Documentation,Maintenance et fiches techniques,EXP,Notice de montage,,,,,,,,
Coupleur incendie,Documentation,Maintenance et fiches techniques,EXE,Protocole de mesure,,,,,,,,
Coupleur incendie,Documentation,Maintenance et fiches techniques,EXP,Protocole de mesure,,,,,,,,
Coupleur incendie,Documentation,Maintenance et fiches techniques,EXE,Notice de maintenance,,,,,,,,
Coupleur incendie,Documentation,Maintenance et fiches techniques,EXP,Notice de maintenance,,,,,,,,
Coupleur incendie,Documentation,Maintenance et fiches techniques,EXE,Carnet d'entretien,,,,,,,,
Coupleur incendie,Documentation,Maintenance et fiches techniques,EXP,Carnet d'entretien,,,,,,,,
Coupleur incendie,Documentation,Plans et schémas,APD,Schéma d'emprise,,,,,,,,
Coupleur incendie,Documentation,Plans et schémas,PDE,Schéma unifilaire,,,,,,,,
Coupleur incendie,Documentation,Plans et schémas,EXE,Schéma unifilaire,,,,,,,,
Coupleur incendie,Documentation,Plans et schémas,EXP,Schéma unifilaire,,,,,,,,
Coupleur incendie,Classification,,Toutes,,,,,,,,Uniformat II 2010,D4010 - Fire Suppression
Dalle,Classe et type IFC,,,,,,,Dalle multicouche (porteuse),IfcSlab.FLOOR,Floors,,
Dalle,Classe et type IFC,,,,,,,Plancher (porteur),IfcSlab.FLOOR,Floors,,
Dalle,Classe et type IFC,,,,,,,Dalle porteuse,IfcSlab.FLOOR,Floors,,
Dalle,Classe et type IFC,,,,,,,Balcon,IfcSlab.FLOOR,Floors,,
Dalle,Classe et type IFC,,,,,,,Palier,IfcSlab.LANDING,Floors,,
Dalle,Classe et type IFC,,,,,,,Toiture,IfcSlab.ROOF,Floors,,
Dalle,Classe et type IFC,,,,,,,Toit,IfcSlab.ROOF,Floors,,
Dalle,Classe et type IFC,,,,,,,Hourdis préfabriqué,IfcSlab.FLOOR,Floors,,
Dalle,Classe et type IFC,,,,,,,Chape de compression,IfcSlab.FLOOR,Floors,,
Dalle,Classe et type IFC,,,,,,,Dalle de compression,IfcSlab.FLOOR,Floors,,
Dalle,Classe et type IFC,,,,,,,Prédalle,IfcSlab.FLOOR,Floors,,
Dalle,Classe et type IFC,,,,,,,Poutrains-claveaux,IfcSlab.FLOOR,Floors,,
Dalle,Classe et type IFC,,,,,,,Poutrains-entrevous,IfcSlab.FLOOR,Floors,,
Dalle,Classe et type IFC,,,,,,,Dalle collaborante,IfcSlab.FLOOR,Floors,,
Dalle,Classe et type IFC,,,,,,,Dalle TT,IfcSlab.FLOOR,Floors,,
Dalle,Informations alphanumériques,Niveau objet,APS,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Dalle,Informations alphanumériques,Niveau objet,APD,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Dalle,Informations alphanumériques,Niveau objet,PDE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Dalle,Informations alphanumériques,Niveau objet,EXE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Dalle,Informations alphanumériques,Niveau objet,EXP,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Dalle,Informations alphanumériques,Niveau objet,APD,,Type IFC,IfcSlabType.PredefinedType,Type IFC Predefined Type,,,,,
Dalle,Informations alphanumériques,Niveau objet,PDE,,Type IFC,IfcSlabType.PredefinedType,Type IFC Predefined Type,,,,,
Dalle,Informations alphanumériques,Niveau objet,EXE,,Type IFC,IfcSlabType.PredefinedType,Type IFC Predefined Type,,,,,
Dalle,Informations alphanumériques,Niveau objet,EXP,,Type IFC,IfcSlabType.PredefinedType,Type IFC Predefined Type,,,,,
Dalle,Informations alphanumériques,Niveau objet,APD,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Dalle,Informations alphanumériques,Niveau objet,PDE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Dalle,Informations alphanumériques,Niveau objet,EXE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Dalle,Informations alphanumériques,Niveau objet,EXP,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Dalle,Informations alphanumériques,Niveau objet,APS,,Nom objet,IfcRoot.Name,IfcName,,,,,
Dalle,Informations alphanumériques,Niveau objet,APD,,Nom objet,IfcRoot.Name,IfcName,,,,,
Dalle,Informations alphanumériques,Niveau objet,PDE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Dalle,Informations alphanumériques,Niveau objet,EXE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Dalle,Informations alphanumériques,Niveau objet,EXP,,Nom objet,IfcRoot.Name,IfcName,,,,,
Dalle,Informations alphanumériques,Niveau objet,APS,,Statut,ePset_SlabCommon.Status,Phase Created,,,,,
Dalle,Informations alphanumériques,Niveau objet,APD,,Statut,ePset_SlabCommon.Status,Phase Created,,,,,
Dalle,Informations alphanumériques,Niveau objet,PDE,,Statut,ePset_SlabCommon.Status,Phase Created,,,,,
Dalle,Informations alphanumériques,Niveau objet,EXE,,Statut,ePset_SlabCommon.Status,Phase Created,,,,,
Dalle,Informations alphanumériques,Niveau objet,EXP,,Statut,ePset_SlabCommon.Status,Phase Created,,,,,
Dalle,Informations alphanumériques,Niveau matériau,APD,,Materiau,IfcMaterial,[not manageable],,,,,
Dalle,Informations alphanumériques,Niveau matériau,PDE,,Materiau,IfcMaterial,[not manageable],,,,,
Dalle,Informations alphanumériques,Niveau matériau,EXE,,Materiau,IfcMaterial,[not manageable],,,,,
Dalle,Informations alphanumériques,Niveau matériau,EXP,,Materiau,IfcMaterial,[not manageable],,,,,
Dalle,Documentation,Descriptifs,APS,Principe constructif,,,,,,,,
Dalle,Documentation,Descriptifs,APD,Principe constructif,,,,,,,,
Dalle,Documentation,Descriptifs,APD,Prédimensionnement,,,,,,,,
Dalle,Documentation,Maintenance et fiches techniques,EXE,Fiche technique,,,,,,,,
Dalle,Documentation,Maintenance et fiches techniques,EXP,Fiche technique,,,,,,,,
Dalle,Documentation,Plans et schémas,PDE,Plan des percements,,,,,,,,
Dalle,Documentation,Plans et schémas,EXE,Plan des percements,,,,,,,,
Dalle,Documentation,Plans et schémas,EXP,Plan des percements,,,,,,,,
Dalle,Documentation,Plans et schémas,PDE,Plan de coffrage,,,,,,,,
Dalle,Documentation,Plans et schémas,EXE,Plan de coffrage,,,,,,,,
Dalle,Documentation,Plans et schémas,EXP,Plan de coffrage,,,,,,,,
Dalle,Documentation,Plans et schémas,PDE,Plan joints de dilatation,,,,,,,,
Dalle,Documentation,Plans et schémas,EXE,Plan joints de dilatation,,,,,,,,
Dalle,Documentation,Plans et schémas,EXP,Plan joints de dilatation,,,,,,,,
Dalle,Documentation,Plans et schémas,PDE,Détail d'exécution,,,,,,,,
Dalle,Documentation,Plans et schémas,EXE,Détail d'exécution,,,,,,,,
Dalle,Documentation,Plans et schémas,EXP,Détail d'exécution,,,,,,,,
Dalle,Documentation,Plans et schémas,EXE,Plan de ferraillage,,,,,,,,
Dalle,Documentation,Plans et schémas,EXP,Plan de ferraillage,,,,,,,,
Dalle,Documentation,Plans et schémas,PDE,Plan éléments spécifiques,,,,,,,,
Dalle,Documentation,Plans et schémas,EXE,Plan éléments spécifiques,,,,,,,,
Dalle,Documentation,Plans et schémas,EXP,Plan éléments spécifiques,,,,,,,,
Dalle,Documentation,Plans et schémas,APD,Performances à atteindre,,,,,,,,
Dalle,Documentation,Plans et schémas,PDE,Performances à atteindre,,,,,,,,
Dalle,Documentation,Plans et schémas,EXE,Performances à atteindre,,,,,,,,
Dalle,Documentation,Plans et schémas,EXP,Performances à atteindre,,,,,,,,
Dalle,Documentation,Plans et schémas,APD,Rapport energétique,,,,,,,,
Dalle,Documentation,Plans et schémas,PDE,Rapport energétique,,,,,,,,
Dalle,Documentation,Plans et schémas,EXE,Rapport energétique,,,,,,,,
Dalle,Documentation,Plans et schémas,EXP,Rapport energétique,,,,,,,,
Dalle,Documentation,Plans et schémas,PDE,Rapport stabilité,,,,,,,,
Dalle,Documentation,Plans et schémas,EXE,Rapport stabilité,,,,,,,,
Dalle,Documentation,Plans et schémas,EXP,Rapport stabilité,,,,,,,,
Dalle,Documentation,Plans et schémas,EXE,Déclaration de performance environnementale,,,,,,,,
Dalle,Documentation,Plans et schémas,APD,Surcharges d’exploitation,,,,,,,,
Dalle,Documentation,Plans et schémas,PDE,Surcharges d’exploitation,,,,,,,,
Dalle,Documentation,Plans et schémas,EXE,Surcharges d’exploitation,,,,,,,,
Dalle,Documentation,Plans et schémas,EXP,Surcharges d’exploitation,,,,,,,,
Dalle,Classification,,Toutes,,,,,,,,Uniformat II 2010,"B1010.20 - Floor Decks, Slabs, and Toppings"
Dalle,Classification,,Toutes,,,,,,,,Uniformat II 2010,B1010.30 - Balcony Floor Construction
Dalle,Classification,,Toutes,,,,,,,,Uniformat II 2010,B1010.40 - Mezzanine Floor Construction
Dalle,Classification,,Toutes,,,,,,,,Uniformat II 2010,C2030 - Flooring
Dalle,Classification,,Toutes,,,,,,,,Uniformat II 2010,C2050 - Ceiling Finishing
Dalle sur sol,Classe et type IFC,,Toutes,,,,,Dalle sur sol multicouche (porteuse),IfcSlab.BASESLAB,Structural Foundations,,
Dalle sur sol,Classe et type IFC,,Toutes,,,,,Dalle sur sol,IfcSlab.BASESLAB,Structural Foundations,,
Dalle sur sol,Classe et type IFC,,Toutes,,,,,Dalle sur terre-plein,IfcSlab.BASESLAB,Structural Foundations,,
Dalle sur sol,Classe et type IFC,,Toutes,,,,,Radier,IfcSlab.BASESLAB,Structural Foundations,,
Dalle sur sol,Informations alphanumériques,Niveau objet,APS,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,APD,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,PDE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,EXE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,EXP,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,APD,,Type IFC,IfcSlabType.PredefinedType,Type IFC Predefined Type,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,PDE,,Type IFC,IfcSlabType.PredefinedType,Type IFC Predefined Type,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,EXE,,Type IFC,IfcSlabType.PredefinedType,Type IFC Predefined Type,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,EXP,,Type IFC,IfcSlabType.PredefinedType,Type IFC Predefined Type,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,APD,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,PDE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,EXE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,EXP,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,APS,,Nom objet,IfcRoot.Name,IfcName,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,APD,,Nom objet,IfcRoot.Name,IfcName,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,PDE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,EXE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,EXP,,Nom objet,IfcRoot.Name,IfcName,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,APS,,Statut,ePset_SlabCommon.Status,Phase Created,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,APD,,Statut,ePset_SlabCommon.Status,Phase Created,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,PDE,,Statut,ePset_SlabCommon.Status,Phase Created,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,EXE,,Statut,ePset_SlabCommon.Status,Phase Created,,,,,
Dalle sur sol,Informations alphanumériques,Niveau objet,EXP,,Statut,ePset_SlabCommon.Status,Phase Created,,,,,
Dalle sur sol,Informations alphanumériques,Niveau matériau,APD,,Materiau,IfcMaterial,[not manageable],,,,,
Dalle sur sol,Informations alphanumériques,Niveau matériau,PDE,,Materiau,IfcMaterial,[not manageable],,,,,
Dalle sur sol,Informations alphanumériques,Niveau matériau,EXE,,Materiau,IfcMaterial,[not manageable],,,,,
Dalle sur sol,Informations alphanumériques,Niveau matériau,EXP,,Materiau,IfcMaterial,[not manageable],,,,,
Dalle sur sol,Documentation,Descriptifs,APS,Principe constructif,,,,,,,,
Dalle sur sol,Documentation,Descriptifs,APD,Principe constructif,,,,,,,,
Dalle sur sol,Documentation,Descriptifs,APD,Prédimensionnement,,,,,,,,
Dalle sur sol,Documentation,Maintenance et fiches techniques,EXE,Fiche technique,,,,,,,,
Dalle sur sol,Documentation,Maintenance et fiches techniques,EXP,Fiche technique,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,PDE,Plan de coffrage,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXE,Plan de coffrage,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXP,Plan de coffrage,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,PDE,Plan joints de dilatation,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXE,Plan joints de dilatation,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXP,Plan joints de dilatation,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,PDE,Détail d'exécution,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXE,Détail d'exécution,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXP,Détail d'exécution,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXE,Plan de ferraillage,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXP,Plan de ferraillage,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,PDE,Plan éléments spécifiques,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXE,Plan éléments spécifiques,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXP,Plan éléments spécifiques,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,APD,Performances à atteindre,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,PDE,Performances à atteindre,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXE,Performances à atteindre,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXP,Performances à atteindre,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,APS,Rapport étude géotechnique,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,APD,Rapport étude géotechnique,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,PDE,Rapport étude géotechnique,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXE,Rapport étude géotechnique,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXP,Rapport étude géotechnique,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,APD,Rapport energétique,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,PDE,Rapport energétique,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXE,Rapport energétique,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXP,Rapport energétique,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,PDE,Rapport stabilité,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXE,Rapport stabilité,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXP,Rapport stabilité,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXE,Déclaration de performance environnementale,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,APD,Surcharges d’exploitation,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,PDE,Surcharges d’exploitation,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXE,Surcharges d’exploitation,,,,,,,,
Dalle sur sol,Documentation,Plans et schémas,EXP,Surcharges d’exploitation,,,,,,,,
Dalle sur sol,Classification,,Toutes,,,,,,,,Uniformat II 2010,A4010 - Standard Slabs-on-Grade
Dalle sur sol,Classification,,Toutes,,,,,,,,Uniformat II 2010,A4020 - Structural Slabs-on-Grade
Dalle sur sol,Classification,,Toutes,,,,,,,,Uniformat II 2010,C2030 - Flooring
Demande de réservation,Classe et type IFC,,Toutes,,,,,Demande de réservation,IfcBuildingElementProxy.USERDEFINED[PROVISIONFORVOID],Mass,,
Dévidoir incendie,Classe et type IFC,,Toutes,,,,,Dévidoir incendie,IfcFireSuppressionTerminalType.HOSEREEL,Fire Protection,,
Dévidoir incendie,Classe et type IFC,,Toutes,,,,,Robinet d'incendie armé,IfcFireSuppressionTerminalType.HOSEREEL,Fire Protection,,
Dévidoir incendie,Classe et type IFC,,Toutes,,,,,Lance incendie,IfcFireSuppressionTerminalType.HOSEREEL,Fire Protection,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,APD,,Statut de rénovation (Archicad),ePset_FireSuppressionTerminalTypeCommon.Status,-,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,PDE,,Statut de rénovation (Archicad),ePset_FireSuppressionTerminalTypeCommon.Status,-,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXE,,Statut de rénovation (Archicad),ePset_FireSuppressionTerminalTypeCommon.Status,-,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXP,,Statut de rénovation (Archicad),ePset_FireSuppressionTerminalTypeCommon.Status,-,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,APD,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,PDE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXP,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,APD,,Type IFC,IfcFireSuppressionTerminalType.PredefinedType,Type IFC Predefined Type,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,PDE,,Type IFC,IfcFireSuppressionTerminalType.PredefinedType,Type IFC Predefined Type,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXE,,Type IFC,IfcFireSuppressionTerminalType.PredefinedType,Type IFC Predefined Type,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXP,,Type IFC,IfcFireSuppressionTerminalType.PredefinedType,Type IFC Predefined Type,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,APD,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,PDE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXP,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,APD,,Nom objet,IfcRoot.Name,IfcName,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,PDE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXP,,Nom objet,IfcRoot.Name,IfcName,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,APD,,Statut,ePset_FireSuppressionTerminalTypeCommon.Status,Phase Created,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,PDE,,Statut,ePset_FireSuppressionTerminalTypeCommon.Status,Phase Created,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXE,,Statut,ePset_FireSuppressionTerminalTypeCommon.Status,Phase Created,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXP,,Statut,ePset_FireSuppressionTerminalTypeCommon.Status,Phase Created,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,PDE,,Type de dévidoir,Pset_FireSuppressionTerminalTypeHoseReel.HoseReelType,Type of hose reel,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXE,,Type de dévidoir,Pset_FireSuppressionTerminalTypeHoseReel.HoseReelType,Type of hose reel,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXP,,Type de dévidoir,Pset_FireSuppressionTerminalTypeHoseReel.HoseReelType,Type of hose reel,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,PDE,,Type d'enrouleur,Pset_FireSuppressionTerminalTypeHoseReel.HoseReelMountingType,Hose reel mounting type,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXE,,Type d'enrouleur,Pset_FireSuppressionTerminalTypeHoseReel.HoseReelMountingType,Hose reel mounting type,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXP,,Type d'enrouleur,Pset_FireSuppressionTerminalTypeHoseReel.HoseReelMountingType,Hose reel mounting type,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,PDE,,Section du tuyau,Pset_FireSuppressionTerminalTypeHoseReel.HoseDiameter,Diameter,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXE,,Section du tuyau,Pset_FireSuppressionTerminalTypeHoseReel.HoseDiameter,Diameter,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXP,,Section du tuyau,Pset_FireSuppressionTerminalTypeHoseReel.HoseDiameter,Diameter,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,PDE,,Longueur,Pset_FireSuppressionTerminalTypeHoseReel.HoseLength,Length,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXE,,Longueur,Pset_FireSuppressionTerminalTypeHoseReel.HoseLength,Length,,,,,
Dévidoir incendie,Informations alphanumériques,Niveau objet,EXP,,Longueur,Pset_FireSuppressionTerminalTypeHoseReel.HoseLength,Length,,,,,
Dévidoir incendie,Documentation,Descriptifs,APD,Prescriptions,,,,,,,,
Dévidoir incendie,Documentation,Descriptifs,PDE,Prescriptions,,,,,,,,
Dévidoir incendie,Documentation,Descriptifs,EXE,Prescriptions,,,,,,,,
Dévidoir incendie,Documentation,Maintenance et fiches techniques,EXE,Fiche technique,,,,,,,,
Dévidoir incendie,Documentation,Maintenance et fiches techniques,EXP,Fiche technique,,,,,,,,
Dévidoir incendie,Documentation,Maintenance et fiches techniques,EXE,Notice de montage,,,,,,,,
Dévidoir incendie,Documentation,Maintenance et fiches techniques,EXP,Notice de montage,,,,,,,,
Dévidoir incendie,Documentation,Maintenance et fiches techniques,EXE,Protocole de mesure,,,,,,,,
Dévidoir incendie,Documentation,Maintenance et fiches techniques,EXP,Protocole de mesure,,,,,,,,
Dévidoir incendie,Documentation,Maintenance et fiches techniques,EXE,Notice de maintenance,,,,,,,,
Dévidoir incendie,Documentation,Maintenance et fiches techniques,EXP,Notice de maintenance,,,,,,,,
