Element,Categorie,Sous_categorie,Phase,Type de document,Propriété,Paramètre IFC,Paramètre Revit_ENG,Nom,IFC Type,Catégorie Revit,Classification,Numéro - Description
Actionneur,Informations alphanumériques,Niveau objet,EXE,,Type IFC,IFC Type,Type IFC Predefined Type,,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXP,,Type IFC,IFC Type,Type IFC Predefined Type,,,,,
Actionneur,Informations alphanumériques,Niveau objet,PDE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype (IDS will not check it),,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype (IDS will not check it),,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXP,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype (IDS will not check it),,,,,
Actionneur,Informations alphanumériques,Niveau objet,PDE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXP,,Nom objet,IfcRoot.Name,IfcName,,,,,
Actionneur,Informations alphanumériques,Niveau objet,PDE,,Statut,Pset_ActuatorTypeCommon.Status,Phase Created,,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXE,,Statut,Pset_ActuatorTypeCommon.Status,Phase Created,,,,,
Actionneur,Informations alphanumériques,Niveau objet,EXP,,Statut,Pset_ActuatorTypeCommon.Status,Phase Created,,,,,
Actionneur,Documentation,Descriptifs,PDE,Prescriptions,,,,,,,,
Actionneur,Documentation,Descriptifs,EXE,Prescriptions,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,EXE,Fiche technique,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,EXP,Fiche technique,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,PDE,Protocole de communication,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,EXE,Protocole de communication,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,EXP,Protocole de communication,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,EXE,Notice de montage,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,EXP,Notice de montage,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,EXE,Protocole de mesure,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,EXP,Protocole de mesure,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,EXE,Notice de maintenance,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,EXP,Notice de maintenance,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,EXE,Carnet d'entretien,,,,,,,,
Actionneur,Documentation,Maintenance et fiches techniques,EXP,Carnet d'entretien,,,,,,,,
Actionneur,Documentation,Plans et schémas,PDE,Schéma unifilaire,,,,,,,,
Actionneur,Documentation,Plans et schémas,EXE,Schéma unifilaire,,,,,,,,
Actionneur,Documentation,Plans et schémas,EXP,Schéma unifilaire,,,,,,,,
Actionneur,Classification,,Toutes,,,,,,,,Uniformat II 2010,D8010.10 - Integrated Automation Control of Equipment
Actionneur,Classification,,Toutes,,,,,,,,Uniformat II 2010,D8010.20 - Integrated Automation Control of Conveying\nEquipment
Actionneur,Classification,,Toutes,,,,,,,,Uniformat II 2010,D8010.30 - Integrated Automation Control of Fire-Suppression\nSystems
Actionneur,Classification,,Toutes,,,,,,,,Uniformat II 2010,D8010.40 - Integrated Automation Control of Plumbing Systems
Actionneur,Classification,,Toutes,,,,,,,,Uniformat II 2010,D8010.50 - Integrated Automation Control of HVAC Systems
Actionneur,Classification,,Toutes,,,,,,,,Uniformat II 2010,D8010.60 - Integrated Automation Control of Electrical Systems
Actionneur,Classification,,Toutes,,,,,,,,Uniformat II 2010,D8010.70 - Integrated Automation Control of Communication Systems
Actionneur,Classification,,Toutes,,,,,,,,Uniformat II 2010,D8010.80 - Integrated Automation Control of Electronic Safety\nand Security Systems
Actionneur,Classification,,Toutes,,,,,,,,Uniformat II 2010,D8010.90 - Integrated Automation Supplementary Components
Actionneur,Classification,,Toutes,,,,,,,,DIN276,KG 466 - hydraulikanlagen
Actionneur,Classification,,Toutes,,,,,,,,DIN276,KG 481 - Automationseinrichtungen
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Amplificateur de puissance,IfcAudioVisualAppliance.AMPLIFIER,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Amplificateur intégré,IfcAudioVisualAppliance.AMPLIFIER,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Commutateur audio-vidéo,IfcAudioVisualAppliance.SWITCHER,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Ecran,IfcAudioVisualAppliance.DISPLAY,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Haut-parleur,IfcAudioVisualAppliance.SPEAKER,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Haut-parleur d'alarme (incendie / alerte vocale),IfcAudioVisualAppliance.SPEAKER,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Lecteur média,IfcAudioVisualAppliance.PLAYER,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Téléviseur,IfcAudioVisualAppliance.DISPLAY,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,TV,IfcAudioVisualAppliance.DISPLAY,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Appareil photo,IfcAudioVisualAppliance.CAMERA,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Caméra,IfcAudioVisualAppliance.CAMERA,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Caméra ip,IfcAudioVisualAppliance.CAMERA,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Caméra dôme,IfcAudioVisualAppliance.CAMERA,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Caméra visioconférence,IfcAudioVisualAppliance.CAMERA,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Interphone,IfcAudioVisualAppliance.USERDEFINED[INTERCOM],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Vidéoparlophone,IfcAudioVisualAppliance.USERDEFINED[VIDEOINTERCOM],Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Décodeur vidéo,IfcAudioVisualAppliance.TUNER,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Box TV,IfcAudioVisualAppliance.TUNER,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Microphone,IfcAudioVisualAppliance.MICROPHONE,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Tuner radio,IfcAudioVisualAppliance.TUNER,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Projecteur,IfcAudioVisualAppliance.PROJECTOR,Communication Devices,,
Appareil audiovisuel,Classe et type IFC,,Toutes,,,,,Téléphone,IfcAudioVisualAppliance.TELEPHONE,Communication Devices,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,APD,,Statut de rénovation (Archicad),Pset_AudioVisualApplianceTypeCommon.Status,-,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,PDE,,Statut de rénovation (Archicad),Pset_AudioVisualApplianceTypeCommon.Status,-,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXE,,Statut de rénovation (Archicad),Pset_AudioVisualApplianceTypeCommon.Status,-,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXP,,Statut de rénovation (Archicad),Pset_AudioVisualApplianceTypeCommon.Status,-,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,APD,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,PDE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXP,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,APD,,Type IFC,IFC Type,Type IFC Predefined Type,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,PDE,,Type IFC,IFC Type,Type IFC Predefined Type,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXE,,Type IFC,IFC Type,Type IFC Predefined Type,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXP,,Type IFC,IFC Type,Type IFC Predefined Type,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,APD,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype (IDS will not check it),,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,PDE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype (IDS will not check it),,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype (IDS will not check it),,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXP,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype (IDS will not check it),,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,APD,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,PDE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXP,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,APD,,Statut,Pset_AudioVisualApplianceTypeCommon.Status,Phase Created,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,PDE,,Statut,Pset_AudioVisualApplianceTypeCommon.Status,Phase Created,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXE,,Statut,Pset_AudioVisualApplianceTypeCommon.Status,Phase Created,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXP,,Statut,Pset_AudioVisualApplianceTypeCommon.Status,Phase Created,,,,,
